;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
83;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;0.20067146614692374;0.020729276746489077;0.01328458500195239;0.030602054709244184;0.08947352986937401;0.0628583684035232;0.0081487031727208;10264343;2000
84;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;0.20067146614692374;0.020729276746489077;0.01328458500195239;0.030602054709244184;0.08947352986937401;0.0628583684035232;0.0081487031727208;10877947;2010
85;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;0.20067146614692374;0.020729276746489077;0.01328458500195239;0.030602054709244184;0.08947352986937401;0.0628583684035232;0.0081487031727208;11248303;2015
86;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;0.20067146614692374;0.020729276746489077;0.01328458500195239;0.030602054709244184;0.08947352986937401;0.0628583684035232;0.0081487031727208;11561717;2020
87;81;BEL;Belgium;Brussels;Europe;30528;381.8111;1.0038;0.15;0.20067146614692374;0.020729276746489077;0.01328458500195239;0.030602054709244184;0.08947352986937401;0.0628583684035232;0.0081487031727208;11655930;2022
88;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;0.2916484692630593;0.03538509526138364;0.0284708551001755;0.03774235804897428;0.09393743215989371;0.10523007006491021;0.017395943608279667;8027702;1970
89;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;0.2916484692630593;0.03538509526138364;0.0284708551001755;0.03774235804897428;0.09393743215989371;0.10523007006491021;0.017395943608279667;8311763;1980
90;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;0.2916484692630593;0.03538509526138364;0.0284708551001755;0.03774235804897428;0.09393743215989371;0.10523007006491021;0.017395943608279667;8548406;1990
91;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;0.2916484692630593;0.03538509526138364;0.0284708551001755;0.03774235804897428;0.09393743215989371;0.10523007006491021;0.017395943608279667;8871043;2000
92;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;0.2916484692630593;0.03538509526138364;0.0284708551001755;0.03774235804897428;0.09393743215989371;0.10523007006491021;0.017395943608279667;9381729;2010
93;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;0.2916484692630593;0.03538509526138364;0.0284708551001755;0.03774235804897428;0.09393743215989371;0.10523007006491021;0.017395943608279667;9849349;2015
94;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;0.2916484692630593;0.03538509526138364;0.0284708551001755;0.03774235804897428;0.09393743215989371;0.10523007006491021;0.017395943608279667;10368969;2020
95;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;0.2916484692630593;0.03538509526138364;0.0284708551001755;0.03774235804897428;0.09393743215989371;0.10523007006491021;0.017395943608279667;10549347;2022
96;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;0.07505392137646717;0.04842062022037326;0.0030313357468213426;-0.0064538162185502415;0.015980618893940327;0.006326382027891926;-0.003510318581803565;9795744;1970
97;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;0.07505392137646717;0.04842062022037326;0.0030313357468213426;-0.0064538162185502415;0.015980618893940327;0.006326382027891926;-0.003510318581803565;10270060;1980
98;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;0.07505392137646717;0.04842062022037326;0.0030313357468213426;-0.0064538162185502415;0.015980618893940327;0.006326382027891926;-0.003510318581803565;10301192;1990
99;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;0.07505392137646717;0.04842062022037326;0.0030313357468213426;-0.0064538162185502415;0.015980618893940327;0.006326382027891926;-0.003510318581803565;10234710;2000
100;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;0.07505392137646717;0.04842062022037326;0.0030313357468213426;-0.0064538162185502415;0.015980618893940327;0.006326382027891926;-0.003510318581803565;10464749;2010
101;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;0.07505392137646717;0.04842062022037326;0.0030313357468213426;-0.0064538162185502415;0.015980618893940327;0.006326382027891926;-0.003510318581803565;10523798;2015
102;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;0.07505392137646717;0.04842062022037326;0.0030313357468213426;-0.0064538162185502415;0.015980618893940327;0.006326382027891926;-0.003510318581803565;10530953;2020
103;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;0.07505392137646717;0.04842062022037326;0.0030313357468213426;-0.0064538162185502415;0.015980618893940327;0.006326382027891926;-0.003510318581803565;10493986;2022
104;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;0.23023853016890947;0.08920846453774094;0.10691857484161636;0.07142649837341436;0.06627294584606838;-0.047268556940081204;-0.012105992333502532;8544873;1970
105;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;0.23023853016890947;0.08920846453774094;0.10691857484161636;0.07142649837341436;0.06627294584606838;-0.047268556940081204;-0.012105992333502532;9307148;1980
106;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;0.23023853016890947;0.08920846453774094;0.10691857484161636;0.07142649837341436;0.06627294584606838;-0.047268556940081204;-0.012105992333502532;10302255;1990
