;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
99;47;GHA;Ghana;Accra;Africa;238533;140.3406;1.0196;0.42;2.631322758845597;0.33890618202991574;0.3018678247378942;0.27309671235455574;0.5150001764511275;0.25828952411950257;0.04025645920322746;19665502;2000
100;47;GHA;Ghana;Accra;Africa;238533;140.3406;1.0196;0.42;2.631322758845597;0.33890618202991574;0.3018678247378942;0.27309671235455574;0.5150001764511275;0.25828952411950257;0.04025645920322746;25574719;2010
101;47;GHA;Ghana;Accra;Africa;238533;140.3406;1.0196;0.42;2.631322758845597;0.33890618202991574;0.3018678247378942;0.27309671235455574;0.5150001764511275;0.25828952411950257;0.04025645920322746;28870939;2015
102;47;GHA;Ghana;Accra;Africa;238533;140.3406;1.0196;0.42;2.631322758845597;0.33890618202991574;0.3018678247378942;0.27309671235455574;0.5150001764511275;0.25828952411950257;0.04025645920322746;32180401;2020
103;47;GHA;Ghana;Accra;Africa;238533;140.3406;1.0196;0.42;2.631322758845597;0.33890618202991574;0.3018678247378942;0.27309671235455574;0.5150001764511275;0.25828952411950257;0.04025645920322746;33475870;2022
104;48;MOZ;Mozambique;Maputo;Africa;801590;41.1302;1.0278;0.41;2.70654302424392;0.3568743018632672;0.16558089932639056;0.3356304552071758;0.5498641557069658;0.351244400394336;0.05745282791629123;8411676;1970
105;48;MOZ;Mozambique;Maputo;Africa;801590;41.1302;1.0278;0.41;2.70654302424392;0.3568743018632672;0.16558089932639056;0.3356304552071758;0.5498641557069658;0.351244400394336;0.05745282791629123;11413587;1980
106;48;MOZ;Mozambique;Maputo;Africa;801590;41.1302;1.0278;0.41;2.70654302424392;0.3568743018632672;0.16558089932639056;0.3356304552071758;0.5498641557069658;0.351244400394336;0.05745282791629123;13303459;1990
107;48;MOZ;Mozambique;Maputo;Africa;801590;41.1302;1.0278;0.41;2.70654302424392;0.3568743018632672;0.16558089932639056;0.3356304552071758;0.5498641557069658;0.351244400394336;0.05745282791629123;17768505;2000
108;48;MOZ;Mozambique;Maputo;Africa;801590;41.1302;1.0278;0.41;2.70654302424392;0.3568743018632672;0.16558089932639056;0.3356304552071758;0.5498641557069658;0.351244400394336;0.05745282791629123;23073723;2010
109;48;MOZ;Mozambique;Maputo;Africa;801590;41.1302;1.0278;0.41;2.70654302424392;0.3568743018632672;0.16558089932639056;0.3356304552071758;0.5498641557069658;0.351244400394336;0.05745282791629123;26843246;2015
110;48;MOZ;Mozambique;Maputo;Africa;801590;41.1302;1.0278;0.41;2.70654302424392;0.3568743018632672;0.16558089932639056;0.3356304552071758;0.5498641557069658;0.351244400394336;0.05745282791629123;31178239;2020
111;48;MOZ;Mozambique;Maputo;Africa;801590;41.1302;1.0278;0.41;2.70654302424392;0.3568743018632672;0.16558089932639056;0.3356304552071758;0.5498641557069658;0.351244400394336;0.05745282791629123;32969517;2022
112;50;MDG;Madagascar;Antananarivo;Africa;587041;50.4423;1.0241;0.37;3.2509390788901573;0.34766529648476274;0.32795561814817387;0.3647021626790135;0.607303234601991;0.2988407418637284;0.04912412063881832;6639751;1970
113;50;MDG;Madagascar;Antananarivo;Africa;587041;50.4423;1.0241;0.37;3.2509390788901573;0.34766529648476274;0.32795561814817387;0.3647021626790135;0.607303234601991;0.2988407418637284;0.04912412063881832;8948162;1980
114;50;MDG;Madagascar;Antananarivo;Africa;587041;50.4423;1.0241;0.37;3.2509390788901573;0.34766529648476274;0.32795561814817387;0.3647021626790135;0.607303234601991;0.2988407418637284;0.04912412063881832;11882762;1990
115;50;MDG;Madagascar;Antananarivo;Africa;587041;50.4423;1.0241;0.37;3.2509390788901573;0.34766529648476274;0.32795561814817387;0.3647021626790135;0.607303234601991;0.2988407418637284;0.04912412063881832;16216431;2000
116;50;MDG;Madagascar;Antananarivo;Africa;587041;50.4423;1.0241;0.37;3.2509390788901573;0.34766529648476274;0.32795561814817387;0.3647021626790135;0.607303234601991;0.2988407418637284;0.04912412063881832;21731053;2010
117;50;MDG;Madagascar;Antananarivo;Africa;587041;50.4423;1.0241;0.37;3.2509390788901573;0.34766529648476274;0.32795561814817387;0.3647021626790135;0.607303234601991;0.2988407418637284;0.04912412063881832;24850912;2015
